Item ID,Weight(in kg.),PricePerUnit,Quantity,Shipping Cost,ShippingRevenue,LogisticProfit,DeliveryStatus
1,136,27,100,16,60,44,FALSE
2,91,10,174,8,88,80,FALSE
3,23,29,69,7,60,53,FALSE
4,99,14,192,13,21,8,FALSE
5,104,21,147,5,62,57,FALSE
6,75,29,126,20,81,61,FALSE
7,184,23,170,1,88,87,FALSE
8,125,27,234,20,89,69,FALSE
9,181,20,153,7,28,21,FALSE
10,139,4,167,3,40,37,FALSE
11,45,8,21,14,26,12,FALSE
12,186,7,157,12,85,73,FALSE
13,192,20,44,8,77,69,FALSE
14,191,12,228,19,90,71,FALSE
15,49,13,100,1,71,70,FALSE
16,24,19,161,10,59,49,FALSE
17,182,29,79,16,94,78,FALSE
18,84,13,51,9,38,29,FALSE
19,33,13,160,10,27,17,FALSE
20,59,12,273,8,72,64,FALSE
21,47,3,36,11,55,44,FALSE
22,88,1,275,4,68,64,FALSE
23,53,22,103,19,45,26,FALSE
24,189,18,54,11,52,41,FALSE
25,26,14,102,8,92,84,FALSE
26,123,9,252,6,86,80,FALSE
27,123,28,146,7,38,31,FALSE
28,90,11,67,2,77,75,FALSE
29,137,4,290,5,33,28,FALSE
30,139,12,199,2,31,29,FALSE
31,155,12,24,7,49,42,FALSE
32,193,16,144,20,84,64,FALSE
33,85,1,44,14,100,86,FALSE
34,173,25,196,11,43,32,FALSE
35,162,3,77,6,38,32,FALSE
36,34,14,198,2,72,70,FALSE
37,95,23,60,16,22,6,FALSE
38,197,24,37,16,23,7,FALSE
39,83,16,143,8,94,86,FALSE
40,65,7,117,4,43,39,FALSE
41,118,8,82,3,86,83,FALSE
42,159,1,296,5,53,48,FALSE
43,195,22,177,6,90,84,FALSE
44,162,19,296,3,78,75,FALSE
45,177,10,69,5,90,85,FALSE
46,182,20,134,7,75,68,FALSE
47,36,1,201,10,66,56,FALSE
48,169,17,179,4,91,87,FALSE
49,197,23,44,18,83,65,FALSE
50,29,13,253,12,53,41,FALSE
51,150,6,244,4,33,29,FALSE
52,168,11,240,7,92,85,FALSE
53,181,2,36,12,34,22,FALSE
